Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{FC7FC7E1-EE76-48BC-9D24-91F726559986},31000,1995-06-14 00:00,F,N,L,BILLERICAY,BASILDON,ESSEX,A,A
{1ACF71E6-9FDB-4DC0-B7D5-91F746010EDC},69000,1995-08-21 00:00,S,N,F,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{6B79D73B-7EAD-491C-9D04-8AC62251E1A5},132651,1995-01-20 00:00,D,Y,F,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,A,A
{B8B71462-599E-4180-88F1-8AC63A0B8CCD},52000,1995-08-10 00:00,T,N,F,NOTTINGHAM,BROXTOWE,NOTTINGHAMSHIRE,A,A
{5374B1BB-2B62-4595-9600-873A815C8E93},51500,1995-01-20 00:00,S,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{0A833A53-5F28-43C2-B4D2-873A8F95CAF5},43500,1995-12-15 00:00,T,N,F,ROCHESTER,ROCHESTER UPON MEDWAY,KENT,A,A
{62B105E8-9420-4867-8B55-8E65B4483A21},102500,1995-07-28 00:00,D,N,F,CHICHESTER,CHICHESTER,WEST SUSSEX,A,A
{F958D2B6-F2D1-4104-B53E-8E65B5AABE77},49000,1995-06-30 00:00,S,N,F,NOTTINGHAM,NOTTINGHAM,NOTTINGHAMSHIRE,A,A
{9731C13D-BA93-4852-B64B-8E65BBBB28F4},36000,1995-01-31 00:00,T,N,F,NEWPORT,NEWPORT,NEWPORT,A,A
{CAE714B5-5C4E-41FB-98B4-83B8477C29BB},38000,1995-09-29 00:00,T,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{47CF1582-E826-42B1-8D79-83B84DC38487},102000,1995-08-25 00:00,D,N,F,BIRMINGHAM,SANDWELL,WEST MIDLANDS,A,A
{5CE272EC-F6D0-4581-BA61-83B853CB25D4},75000,1995-12-15 00:00,D,Y,F,WORKSOP,BASSETLAW,NOTTINGHAMSHIRE,A,A
{06921D23-1DD1-4A25-BD3E-83B858F1A627},28500,1995-09-29 00:00,T,N,F,OSSETT,WAKEFIELD,WEST YORKSHIRE,A,A
{1B40A6D3-0C66-413F-9D94-83B862B69E9C},270000,1995-09-01 00:00,F,N,L,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4F2D686E-4F1A-4FB4-B594-83B866B2DA8B},30000,1995-04-10 00:00,T,N,F,NEWCASTLE,NEWCASTLE-UNDER-LYME,STAFFORDSHIRE,A,A
{2D216CFE-B46A-4E44-957E-83B86D0CC0B4},35000,1995-07-07 00:00,T,N,F,NORWICH,NORWICH,NORFOLK,A,A
{23240B3D-C6E4-4268-899A-91F768FE97F2},35000,1995-09-25 00:00,S,N,L,WARRINGTON,WARRINGTON,WARRINGTON,A,A
{1CFE3A62-9B34-4AC7-8D45-21D42509F2E3},54500,1995-05-26 00:00,T,N,L,SOUTHAMPTON,EASTLEIGH,HAMPSHIRE,A,A
{1FE84F4A-6DD3-4E0C-8483-171D7CA25FA2},110000,1995-01-03 00:00,D,N,F,LONDON,SOUTHWARK,GREATER LONDON,A,A
{E7B6D43E-CBFB-485D-9052-171D8E453660},66000,1995-11-30 00:00,D,N,F,DERBY,DERBY,DERBYSHIRE,A,A
{37494E2A-3AFE-42D5-8C0C-171D95B08F5E},40000,1995-05-05 00:00,T,N,F,KETTERING,EAST NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,A,A
{72E713C4-B2CD-4758-9EA1-171D982AE0B0},83950,1995-03-31 00:00,D,Y,F,WARRINGTON,WARRINGTON,WARRINGTON,A,A
{B66F0A89-C53D-471C-B68A-171D9851E6B4},53000,1995-03-06 00:00,S,N,F,ST. IVES,HUNTINGDONSHIRE,CAMBRIDGESHIRE,A,A
{6F2272CA-28F9-4FE1-A9D9-25693FB8F3AF},54500,1995-09-22 00:00,D,N,F,WORCESTER,WYCHAVON,WORCESTERSHIRE,A,A
{BD53846E-59D5-4A0F-ABEC-256940F242B8},80500,1995-09-22 00:00,D,N,F,BURNLEY,BURNLEY,LANCASHIRE,A,A
{B745D911-8E7E-4844-AEB2-25695BC2ADC0},36000,1995-07-26 00:00,T,N,F,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,A,A
{DAA78D5E-266A-4D15-81A9-1AB4C34FBE0F},55000,1995-08-18 00:00,S,N,F,BROADSTAIRS,THANET,KENT,A,A
{7BA7409E-F389-48D4-BFC4-1AB4E1AAD4B0},59500,1995-06-23 00:00,S,N,F,LIVERPOOL,SEFTON,MERSEYSIDE,A,A
{54862E3C-2696-46B6-AD62-1E42D6CF7518},44000,1995-07-07 00:00,T,N,F,SMETHWICK,SANDWELL,WEST MIDLANDS,A,A
{3BFCD3C9-3F45-4A66-82B3-171DB9ECC945},39000,1995-09-29 00:00,T,N,F,YORK,YORK,YORK,A,A
{656BE691-F754-4F35-A490-171DB9F5896C},47000,1995-08-25 00:00,D,N,F,CANNOCK,CANNOCK CHASE,STAFFORDSHIRE,A,A
{6CB29D65-7760-45A7-B955-171DCB2A5299},71500,1995-09-07 00:00,D,Y,F,ROTHERHAM,ROTHERHAM,SOUTH YORKSHIRE,A,A
